GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,change
KDELR2,496.5497239,0.68489803,0.322285699,2.125126969,0.03357602,0.376733744,UP
MARCKSL1,410.6672579,-1.113121916,0.523793267,-2.125116885,0.033576861,0.376733744,DOWN
EDA,8.667164121,-1.744189502,0.82090798,-2.124707695,0.033611011,0.376733744,DOWN
SPDYA,7.989065384,2.094563725,0.986048839,2.124198763,0.033653527,0.37677693,UP
ENSG00000293110,4.516810116,3.713348366,1.748880375,2.123271791,0.033731083,0.37677693,UP
CTR9,762.9640886,0.613206231,0.288822768,2.123122893,0.033743555,0.37677693,UP
RNF207,12.39596032,-1.333159463,0.627969702,-2.122967812,0.033756549,0.37677693,DOWN
ULK2,150.215096,-1.108181955,0.522346838,-2.121544298,0.033876024,0.377011104,DOWN
DDX11L2,5.573074228,-2.964793994,1.398601305,-2.119827848,0.034020566,0.377011104,DOWN
LRRC37A16P,13.00194539,-1.514746479,0.714816257,-2.11907111,0.034084458,0.377011104,DOWN
ENSG00000267780,10.23009616,2.630424709,1.241455208,2.118823694,0.03410537,0.377011104,UP
POC1A,44.38755008,0.959605446,0.452933117,2.118647126,0.0341203,0.377011104,UP
ENSG00000310385,7.266924235,-1.91071702,0.901981021,-2.118356126,0.034144919,0.377011104,DOWN
HLA-DOB,65.67332752,-1.321405549,0.623810389,-2.118280767,0.034151296,0.377011104,DOWN
AKR1C3,50.08085852,1.579583083,0.745799776,2.117972054,0.034177434,0.377011104,UP
SOCS6,35.31572016,1.004726271,0.474385031,2.117955258,0.034178857,0.377011104,UP
UNC5A,52.94053558,1.669545697,0.788353098,2.117763855,0.034195072,0.377011104,UP
ANKRD44-IT1,51.27855205,-1.337166541,0.631694568,-2.116792843,0.034277433,0.377011104,DOWN
SH2B3,1190.331355,-0.792472288,0.374378224,-2.116769182,0.034279442,0.377011104,DOWN
SRP54,489.6758961,0.758955209,0.358566012,2.116640128,0.034290402,0.377011104,UP
DBI,413.7067188,0.850225242,0.401704372,2.116544655,0.034298512,0.377011104,UP
ENSG00000293161,7.332347093,1.435329746,0.678187867,2.116419088,0.03430918,0.377011104,UP
NDUFA4,541.9577001,0.852258409,0.402852578,2.115559028,0.03438233,0.377425015,UP
DMRTC2,5.987453362,-2.139766968,1.011975529,-2.114445366,0.034477246,0.378076773,DOWN
FAM81B,5.533068299,-2.124494067,1.005288691,-2.113317384,0.034573612,0.378444714,DOWN
ENSG00000297367,8.023621266,1.731566979,0.819397463,2.113219844,0.034581956,0.378444714,UP
THAP5,252.1687496,0.798817048,0.378124092,2.112579085,0.03463681,0.378453125,UP
HNRNPA1P52,8.305328975,-1.942311144,0.919489526,-2.112379847,0.034653882,0.378453125,DOWN
ZSWIM3,44.73964943,0.932673101,0.441667734,2.111707579,0.034711539,0.378693986,UP
SLC2A3,13852.75411,1.483161182,0.702521951,2.1111955,0.034755511,0.378785221,UP
ENSG00000299307,8.432283211,-1.18560378,0.562317969,-2.108422362,0.034994472,0.380630855,DOWN
INSL3,93.62085136,1.151050634,0.54593567,2.108399759,0.034996425,0.380630855,UP
ADPGK-AS1,8.407245701,-1.569357661,0.74455459,-2.10778052,0.035049979,0.380650279,DOWN
FUT7,514.0446939,1.341829934,0.636677103,2.107551735,0.035069782,0.380650279,UP
ASL,162.5442416,0.761270211,0.361370369,2.106620455,0.035150492,0.380992897,UP
ENSG00000290588,5.272066329,2.691671995,1.278023954,2.106120145,0.035193917,0.380992897,UP
KLHL11,42.72993259,-1.310172243,0.622129204,-2.105948787,0.035208801,0.380992897,DOWN
CFAP119,14.12422195,-1.270064,0.603364094,-2.104971131,0.035293821,0.381524771,DOWN
DNAJB13,45.00076596,-1.438750997,0.683925544,-2.103666122,0.035407582,0.381941822,DOWN
EEF1AKMT4,11.78853866,1.63706571,0.778302439,2.103379905,0.035432574,0.381941822,UP
RGL1,90.80199174,1.206512268,0.573685709,2.103089286,0.035457965,0.381941822,UP
LGR6,50.56062852,-1.365343168,0.649363676,-2.102586299,0.035501949,0.381941822,DOWN
VCAN,6021.238197,1.293973163,0.615614502,2.101921183,0.035560181,0.381941822,UP
FAR2,457.4466986,1.094011912,0.520517444,2.101777615,0.035572761,0.381941822,UP
S100A11,10439.06707,1.317577635,0.626946197,2.101580073,0.035590077,0.381941822,UP
CRADD,81.13576517,0.89653906,0.42667085,2.101242817,0.035619657,0.381941822,UP
C11orf42,6.168145241,2.478301225,1.180102617,2.100072646,0.035722451,0.381955297,UP
SMTN,97.79198085,1.391863232,0.66294427,2.099517706,0.035771289,0.381955297,UP
CLIC1,7199.813575,0.954268195,0.454518954,2.099512436,0.035771753,0.381955297,UP
LILRP1,29.95604396,2.435037041,1.15998695,2.099193479,0.035799849,0.381955297,UP
PSMD10P1,6.174253346,-1.664465695,0.79290983,-2.099186607,0.035800454,0.381955297,DOWN
CMTM2,855.3880367,1.711006209,0.815360298,2.098466424,0.035863963,0.382249472,UP
LINC02217,16.04024107,1.888818644,0.900965795,2.096437684,0.036043382,0.383777236,UP
ENSG00000278075,4.172809426,1.975731708,0.943034598,2.095078709,0.036163996,0.384616371,UP
ENSG00000298666,9.27306304,-2.026468301,0.967410094,-2.094735535,0.036194509,0.384616371,DOWN
ENSG00000286236,49.7800564,1.673791003,0.799536527,2.093451577,0.036308862,0.38538962,UP
ENSG00000280378,14.88230429,-1.240189606,0.592511751,-2.093105503,0.036339738,0.38538962,DOWN
CYP2U1,28.44632699,-1.136679738,0.54356216,-2.091167898,0.036513016,0.386841584,DOWN
CLEC1B,378.7893513,1.261360527,0.603438693,2.09028778,0.036591956,0.387292179,UP
ENSG00000307670,31.27092704,2.081515944,0.996058961,2.089751736,0.036640107,0.38741632,UP
MIRLET7A1HG,47.34167959,-1.173829839,0.56192263,-2.088952778,0.036711974,0.387708203,DOWN
ISG15,935.5585672,-1.772287664,0.848569218,-2.088559928,0.036747356,0.387708203,DOWN
CHCHD2,1115.835872,0.771453486,0.369429301,2.08823037,0.036777059,0.387708203,UP
EIF2B2,150.5446427,0.968024005,0.463750786,2.087379762,0.03685382,0.387863258,UP
ENSG00000280211,9.756880946,-1.554598108,0.744895583,-2.087001377,0.03688801,0.387863258,DOWN
FGFR1,84.35692731,1.051344484,0.50379351,2.086855948,0.036901158,0.387863258,UP
COX6B1,1139.081349,0.907748735,0.43558813,2.083961138,0.037163702,0.390090981,UP
SDHC,464.2779543,0.719524301,0.345309041,2.083711157,0.037186449,0.390090981,UP
YY2,4.20188033,-1.867249206,0.896483919,-2.082858562,0.037264118,0.390520611,DOWN
B3GAT2,11.2724498,-1.888771175,0.90731706,-2.081710196,0.037368949,0.391233768,DOWN
LAMB2,66.28393487,1.476694741,0.709583471,2.081072631,0.037427258,0.391458946,UP
ENSG00000269843,9.117644211,-1.48477495,0.713731232,-2.080299815,0.037498042,0.391814018,DOWN
ENSG00000288790,10.40083493,-2.452535747,1.180058203,-2.078317612,0.037680115,0.392932841,DOWN
ENSG00000307599,42.77360413,-2.189182888,1.053372125,-2.078261648,0.037685267,0.392932841,DOWN
NUDT22,292.0992896,0.663791522,0.31944867,2.077928579,0.037715938,0.392932841,UP
PLXDC1,30.56163144,-1.26264179,0.607851679,-2.077220206,0.03778124,0.392933903,DOWN
IGLV3-27,5.071404812,3.140954443,1.512163567,2.07712612,0.03778992,0.392933903,UP
TPI1P1,15.57268763,1.130463101,0.544996213,2.074258637,0.038055297,0.395187836,UP
ZNF491,7.317383307,-1.54209078,0.743541106,-2.073981878,0.038080994,0.395187836,DOWN
HOOK1,28.35399256,-1.255504004,0.605943059,-2.071983473,0.038266983,0.396585838,DOWN
ENSG00000261526,35.34529739,-0.931270085,0.449545602,-2.071580903,0.038304542,0.396585838,DOWN
PABIR3,64.68275795,-0.881314999,0.425481761,-2.071334378,0.038327559,0.396585838,DOWN
ENSG00000297226,7.488658149,1.80683513,0.872700039,2.070396527,0.038415227,0.396929214,UP
TMEM63A,919.014352,-0.540595358,0.261134314,-2.070181237,0.038435376,0.396929214,DOWN
NNAT,7.548823069,-1.834451182,0.886610409,-2.069061183,0.038540346,0.397627214,DOWN
EXOC4,406.4221689,0.614214705,0.296967682,2.06828804,0.038612946,0.397739919,UP
ENSG00000258515,5.758204733,-1.89490405,0.916232069,-2.068148578,0.038626054,0.397739919,DOWN
ENSG00000253214,32.27801084,1.805674648,0.873797995,2.066466916,0.038784413,0.398954734,UP
CBFA2T2,286.236817,-0.619520456,0.299850185,-2.066099961,0.038819042,0.398954734,DOWN
PSMC6,512.505045,0.60767906,0.294236545,2.065273911,0.038897091,0.399096657,UP
NFE2,6091.445067,1.208453271,0.58552481,2.063880557,0.039029043,0.399953687,UP
PRSS27,17.42443299,1.295285657,0.627762051,2.063338576,0.039080471,0.400095259,UP
PHAX,162.5169989,0.844846503,0.40956448,2.062792414,0.039132355,0.400186818,UP
ENSG00000296090,17.85993809,1.766848273,0.856753503,2.062259758,0.039183012,0.400186818,UP
ATP6V0E2-AS1,7.566256383,-1.605381458,0.778535311,-2.062053495,0.039202643,0.400186818,DOWN
ENSG00000298136,6.868878639,1.425706078,0.691532321,2.061662247,0.039239903,0.400186818,UP
C9orf40,80.21535695,0.74818682,0.363218586,2.059880329,0.039409983,0.401513993,UP
SEPHS2,1102.029607,0.892906343,0.43390244,2.057850475,0.039604489,0.401513993,UP
PLAA,267.6043829,0.550167241,0.267431238,2.057228787,0.039664224,0.401513993,UP
ENSG00000299677,8.386268176,2.841687346,1.381324069,2.057219887,0.039665079,0.401513993,UP
MYL4,541.782813,-1.160701436,0.564284638,-2.056943179,0.039691692,0.401513993,DOWN
RAMP3,6.020438574,-2.291830697,1.11422848,-2.056876787,0.039698079,0.401513993,DOWN
MT-TY,210.682282,-1.221542134,0.59392705,-2.056720828,0.039713088,0.401513993,DOWN
ENSG00000308283,49.94833493,1.008391696,0.4902999,2.056683464,0.039716684,0.401513993,UP
PKIA,64.68368711,-0.985715394,0.479513106,-2.055658919,0.039815404,0.401513993,DOWN
PRDM11,39.17702035,-0.944698469,0.459628789,-2.055350953,0.039845119,0.401513993,DOWN
LINC02185,6.651794083,-2.330340302,1.133812099,-2.055314372,0.03984865,0.401513993,DOWN
FLOT2,10742.39419,1.315248697,0.640008794,2.055047851,0.039874383,0.401513993,UP
LNPK,336.2508701,0.783187937,0.381136592,2.054874691,0.03989111,0.401513993,UP
ENSG00000296380,16.01602544,2.361249208,1.149261335,2.054579873,0.039919601,0.401513993,UP
ENSG00000297225,8.465746665,1.726623704,0.840448391,2.054407769,0.039936242,0.401513993,UP
SMAP2,11342.6848,1.113521313,0.542414391,2.052897805,0.04008249,0.40260382,UP
ENSG00000294305,4.3725556,1.725639685,0.841417884,2.050871175,0.040279494,0.404200921,UP
VPS72,315.523409,0.536989552,0.262001017,2.049570489,0.040406363,0.405091876,UP
DPH3,322.3515488,0.843918005,0.412260652,2.047049606,0.040653214,0.406682679,UP
NOXA1,35.33629359,-1.082774653,0.529002133,-2.046824738,0.040675296,0.406682679,DOWN
RGMB,12.7742825,-1.266651592,0.61885102,-2.046779516,0.040679738,0.406682679,DOWN
TSPAN32,427.9039519,-0.679730253,0.332192836,-2.046191791,0.040737505,0.40685152,DOWN
MRPS18C,76.18256436,0.632737513,0.309281607,2.045829748,0.040773124,0.40685152,UP
WASF1,46.80586506,0.904195772,0.44267831,2.042557207,0.041096291,0.409356533,UP
AHNAK2,5.875573555,-1.962862283,0.961051919,-2.042410242,0.041110855,0.409356533,DOWN
SLC18A2-AS1,74.4924626,-1.573505087,0.770633069,-2.04183437,0.041167964,0.409356533,DOWN
FAM43A,82.61971108,0.881118704,0.4316212,2.041416647,0.041209431,0.409356533,UP
METTL23,143.5097783,0.702195208,0.344060227,2.040907824,0.04125999,0.409356533,UP
ZNF891,37.78382868,-1.001936941,0.491021036,-2.040517347,0.041298825,0.409356533,DOWN
ENSG00000280184,10.04929738,2.047073226,1.003593128,2.039744163,0.041375814,0.409356533,UP
GIN1,43.94035555,0.724319971,0.355112092,2.039693911,0.041380822,0.409356533,UP
MAP1S,959.6290243,0.889631739,0.436179329,2.03960087,0.041390095,0.409356533,UP
NT5C3A,881.5191859,-0.896758328,0.439760875,-2.039195343,0.041430536,0.409356533,DOWN
TLR5,895.9919315,1.739137581,0.853114895,2.038573691,0.041492593,0.409356533,UP
ENSG00000287931,6.304913621,-1.928733503,0.946204245,-2.038390246,0.041510921,0.409356533,DOWN
RASL11A,33.33111604,1.260563621,0.618597917,2.037775407,0.041572399,0.409356533,UP
SLC44A1,441.5162539,0.733387382,0.359918748,2.03764707,0.041585241,0.409356533,UP
DNTTIP2,555.3212908,0.618922537,0.303767849,2.037485334,0.04160143,0.409356533,UP
LINC02987,27.49241349,0.748198623,0.36737488,2.036608011,0.041689339,0.409673684,UP
CFL1,13237.88501,0.81150766,0.398502053,2.03639518,0.041710689,0.409673684,UP
ENSG00000289702,5.519232987,1.591001462,0.78189365,2.034805453,0.041870452,0.410477764,UP
FSD1L,57.1803679,1.105936613,0.543539953,2.034692402,0.041881833,0.410477764,UP
RPP14,40.5066752,0.708882391,0.348531242,2.033913482,0.041960319,0.410477764,UP
ENSG00000212175,6.337065923,-1.62072192,0.796895948,-2.033793651,0.041972405,0.410477764,DOWN
PCSK1N,43.71404386,-1.157267484,0.569172228,-2.033246577,0.042027618,0.410477764,DOWN
MAPK14,6652.606986,1.399727444,0.688512286,2.032973809,0.042055169,0.410477764,UP
DDX11L16,25.30000549,-2.074523284,1.020573299,-2.032703859,0.042082451,0.410477764,DOWN
TRMT10B,70.26096116,-0.587274576,0.288939464,-2.032517708,0.042101273,0.410477764,DOWN
ENSG00000295306,56.13345161,1.726768358,0.850092707,2.031270641,0.042227548,0.411167836,UP
IGHG4,537.9126433,2.126421656,1.046968389,2.031027564,0.042252199,0.411167836,UP
PZP,15.91226878,-1.569711595,0.77322607,-2.030081054,0.042348301,0.411167836,DOWN
ENSG00000290003,11.51415974,1.304859232,0.642903632,2.029634253,0.04239373,0.411167836,UP
HDGFL2,534.1670214,0.663179306,0.326810178,2.02924924,0.042432911,0.411167836,UP
ZNF528,39.08652587,-1.039338853,0.512180787,-2.029242173,0.04243363,0.411167836,DOWN
SLC22A16,15.6892631,1.423548044,0.701660628,2.028827024,0.042475912,0.411167836,UP
CXCL10,13.26598243,-2.332403605,1.149661468,-2.028774269,0.042481287,0.411167836,DOWN
RPS2P53,8.482160488,-1.457914215,0.719006513,-2.027678733,0.042593048,0.41187477,DOWN
ENSG00000290559,7.142024782,2.595782752,1.280960716,2.026434316,0.042720297,0.412685598,UP
SLC11A1,13815.19865,1.326618657,0.654806208,2.02597141,0.042767714,0.412685598,UP
PLA2G4A,52.18343733,1.087623331,0.536997575,2.025378477,0.042828516,0.412685598,UP
IKZF2,90.69736854,-1.227622136,0.606175778,-2.02519167,0.042847687,0.412685598,DOWN
LINC00598,8.949908117,-1.385559529,0.684272567,-2.024864937,0.042881235,0.412685598,DOWN
CDKN2C,167.0352611,1.013624869,0.500657336,2.024588068,0.042909681,0.412685598,UP
SRXN1,96.91160938,1.195238828,0.5906763,2.02350903,0.043020694,0.413118869,UP
H2BC17,28.1322973,-1.527781249,0.75505821,-2.023395319,0.043032406,0.413118869,DOWN
IGFBP2,89.80351906,2.101300386,1.038884064,2.022651476,0.043109093,0.413219481,UP
ENSG00000295377,5.006642851,2.216957138,1.096125163,2.022540138,0.043120581,0.413219481,UP
MPP7,455.6357349,1.275212816,0.630637593,2.022100856,0.043165934,0.41328176,UP
ENSG00000289320,32.32770818,-1.794566121,0.888479942,-2.019816133,0.043402463,0.414902537,DOWN
PREB,497.4163014,0.606619212,0.300349305,2.019712386,0.04341323,0.414902537,UP
TTC39C-AS1,7.405017482,-1.215172682,0.602770593,-2.015978708,0.043802202,0.418244188,DOWN
ENSG00000287315,6.781278064,-1.848953066,0.917422555,-2.015377817,0.043865077,0.4184689,DOWN
ZNF174,57.94570187,0.681784312,0.338597516,2.013553791,0.044056402,0.419273252,UP
ENSG00000263126,10.34536419,-1.319801438,0.655471205,-2.01351551,0.044060425,0.419273252,DOWN
FGF13,75.79496866,1.975909576,0.98148742,2.013178707,0.044095832,0.419273252,UP
ENSG00000300686,5.520064165,-1.667156028,0.828165135,-2.013071981,0.044107057,0.419273252,DOWN
SERPINB8,250.692383,0.98894072,0.491450696,2.012288776,0.044189505,0.419313471,UP
RANBP2,1236.9983,0.765434599,0.380381216,2.012282853,0.044190129,0.419313471,UP
NDUFB10,512.1452068,0.817896743,0.406781123,2.010655601,0.044361847,0.420567704,UP
FAM90A1,6.591714644,1.79394337,0.892777112,2.009396686,0.044495081,0.421455193,UP
HOXA9,12.97125806,1.386731224,0.690314607,2.008839464,0.044554162,0.421639339,UP
SQOR,1232.157486,1.048545633,0.522251988,2.007738904,0.044671044,0.422369686,UP
ENSG00000288990,31.05567176,-0.884373843,0.440567009,-2.007353761,0.044712009,0.422381559,DOWN
ENSG00000279825,10.33920983,-1.364203789,0.67998454,-2.006227656,0.044831965,0.4225657,DOWN
RORA-AS1,5.940181726,-1.315482106,0.655924695,-2.005538312,0.044905529,0.4225657,DOWN
ZNF613,36.2867872,0.966952129,0.482203,2.0052802,0.0449331,0.4225657,UP
ENSG00000296226,27.66423704,1.790421933,0.89285545,2.005276366,0.04493351,0.4225657,UP
CD2BP2,926.5243225,0.516506908,0.257583443,2.005202286,0.044941426,0.4225657,UP
NCEH1,84.81104816,0.85889687,0.428391101,2.004936301,0.044969857,0.4225657,UP
ZBTB6,83.90728947,0.873688726,0.435925933,2.004213696,0.045047174,0.42270157,UP
ENSG00000290109,9.504447467,-2.04514903,1.020503659,-2.004058499,0.045063794,0.42270157,DOWN
FAM217B,425.9766203,0.914744564,0.457124046,2.001086078,0.045383114,0.424723266,UP
ADGRB1,13.6997528,-1.32978207,0.664587599,-2.000913157,0.045401749,0.424723266,DOWN
ZDHHC12,535.8564247,0.784968226,0.392366793,2.000598009,0.045435728,0.424723266,UP
ENSG00000290951,36.77513698,-0.685965829,0.342885656,-2.000567297,0.045439041,0.424723266,DOWN
RNF31,71.64004791,-1.172614901,0.586391209,-1.999714324,0.045531121,0.425210298,DOWN
ASGR2,422.7545763,1.281597315,0.641162296,1.998865689,0.045622888,0.425693561,UP
ENSG00000290058,4.639116371,2.010959397,1.006568743,1.997836126,0.045734429,0.426306819,UP
SSC4D,9.383653867,1.754332659,0.878457111,1.997061254,0.045818529,0.426306819,UP
ENSG00000270504,4.749935701,-2.02442428,1.013745729,-1.99697441,0.045827963,0.426306819,DOWN
ZNF771,12.27634383,1.400004185,0.701224929,1.996512284,0.04587819,0.426306819,UP
ENSG00000308500,5.457592943,-1.156419402,0.579248622,-1.996412867,0.045889001,0.426306819,DOWN
NOD2,1216.25127,-1.379681831,0.691529506,-1.995116361,0.04603019,0.426967,DOWN
SLC25A18,7.815836208,1.391992163,0.697791157,1.994854978,0.046058699,0.426967,UP
JDP2,810.6030549,1.084853441,0.54389236,1.994610554,0.046085372,0.426967,UP
RNU6-415P,17.64574794,-1.462902647,0.733654336,-1.993994412,0.046152665,0.426967,DOWN
ENSG00000231628,12.28916914,-1.31682749,0.660421324,-1.993920307,0.046160764,0.426967,DOWN
PLPPR3,13.3825805,2.101385347,1.055273607,1.991318017,0.046445936,0.429231469,UP
RUBCN,292.8894594,-0.851994235,0.427945257,-1.990895382,0.04649239,0.429287806,DOWN
ZXDA,31.97672803,-1.071384467,0.538948194,-1.987917354,0.046820831,0.430799248,DOWN
AIFM3,43.52789435,-1.23493792,0.621275999,-1.987744452,0.04683996,0.430799248,DOWN
ENSG00000241666,43.48946025,0.959625278,0.482912906,1.987160141,0.046904653,0.430799248,UP
SIGLEC16,86.33458373,1.249906639,0.628998205,1.987138641,0.046907035,0.430799248,UP
ENSG00000247134,10.53619435,1.491755474,0.750864674,1.986716815,0.046953787,0.430799248,UP
SIGLEC11,31.67786601,1.669216038,0.840265629,1.986533757,0.046974088,0.430799248,UP
TSPAN18,171.7265114,-0.973148404,0.489885897,-1.986479728,0.046980082,0.430799248,DOWN
NUTM2E,10.92325998,-1.340819261,0.675268393,-1.985609387,0.047076713,0.43129724,DOWN
ALPL,17558.15686,1.83810341,0.926052126,1.984881152,0.047157696,0.43129724,UP
NAPSB,5.722117687,-1.497436768,0.754436266,-1.984841976,0.047162056,0.43129724,DOWN
TTC24,16.99597313,-1.601347147,0.807243821,-1.983721777,0.047286864,0.43129724,DOWN
GSTO2,58.70007748,-1.476018536,0.744139867,-1.983522992,0.047309041,0.43129724,DOWN
ENSG00000286760,8.554257222,1.504901505,0.758743582,1.983412501,0.047321372,0.43129724,UP
CAP1,12366.22145,0.995481362,0.501954408,1.98321072,0.047343897,0.43129724,UP
ENSG00000225032,7.718183363,-1.396586939,0.704252296,-1.983077581,0.047358764,0.43129724,DOWN
ENSG00000254288,34.12209032,1.782194392,0.899025577,1.982362279,0.047438708,0.431630491,UP
GPX7,66.79239643,1.114243386,0.562174413,1.982024366,0.047476514,0.431630491,UP
CEP126,13.15898696,-1.107661124,0.559035284,-1.981379628,0.047548717,0.431794639,DOWN
MTND2P28,1225.757196,-1.012536449,0.511249805,-1.980512147,0.04764601,0.431794639,DOWN
ACTB,129349.3553,0.829655788,0.418928266,1.980424465,0.047655853,0.431794639,UP
LINC00534,18.30729772,-1.4987085,0.756804696,-1.980310784,0.047668618,0.431794639,DOWN
ENSG00000307274,7.177838025,-2.055005064,1.037853393,-1.980053326,0.047697537,0.431794639,DOWN
SGSM2-AS1,9.740645979,-1.51895309,0.767366898,-1.979435254,0.047767023,0.432055969,DOWN
RPS17,51.58993315,-0.757300145,0.38271357,-1.978764808,0.047842492,0.432370936,DOWN
SIGLEC9,1203.677428,1.383201668,0.699615693,1.977087823,0.048031704,0.432888101,UP
ENSG00000306748,5.632420845,-1.6260642,0.822607538,-1.976719306,0.048073367,0.432888101,DOWN
HMGB3,79.81750718,1.253830236,0.634340688,1.976588068,0.048088212,0.432888101,UP
ENSG00000294948,9.328298756,2.493273963,1.261409002,1.976578539,0.04808929,0.432888101,UP
MED31,39.01190341,0.86216117,0.436258459,1.976262359,0.04812507,0.432888101,UP
ANLN,42.71514852,1.455366659,0.736485778,1.976096081,0.048143896,0.432888101,UP
ZNF367,62.23580817,-1.002435172,0.507585902,-1.974907435,0.048278654,0.433377706,DOWN
C11orf68,443.2175822,0.664616652,0.336532304,1.974897045,0.048279833,0.433377706,UP
RAVER2,28.28649746,-0.832757348,0.422108584,-1.972851014,0.048512539,0.435099392,DOWN
ENSG00000288082,8.952766487,1.679860367,0.852344542,1.970870093,0.048738737,0.436759851,UP
CAPN13,30.89495016,2.377639674,1.207393647,1.969233216,0.048926316,0.438071739,UP
ENSG00000310481,6.048711833,2.184408501,1.110187414,1.967603373,0.049113691,0.439207178,UP
PHEX,4.567410218,-1.861454767,0.946436211,-1.966804254,0.049205782,0.439207178,DOWN
WDR5B,41.63131998,0.846882433,0.43060849,1.966710949,0.049216544,0.439207178,UP
ENSG00000235978,6.541349545,-1.113086892,0.565967999,-1.966695807,0.049218291,0.439207178,DOWN
ENSG00000287632,10.28877025,-1.320361327,0.671577303,-1.966060081,0.049291671,0.439493296,DOWN
BMS1P14,10.02564779,1.761024767,0.895936126,1.96556955,0.049348354,0.439495531,UP
CYBA,12755.66674,0.864031107,0.439739453,1.964870562,0.049429221,0.439495531,UP
SMIM10,9.673445803,1.336049802,0.680033974,1.964680961,0.049451175,0.439495531,UP
CHMP3-AS1,42.68160781,-1.709969223,0.870377672,-1.964629009,0.049457192,0.439495531,DOWN
SLIRP,70.16503505,0.910272285,0.463445852,1.96413946,0.049513921,0.43963237,UP
VIPR1-AS1,9.486739558,-1.437585205,0.732090678,-1.963670961,0.049568262,0.439747795,DOWN
ENSG00000301768,15.8933734,2.055455858,1.047496349,1.962255869,0.049732702,0.440744044,UP
HSPA4,732.4449387,0.649256868,0.330960369,1.961735993,0.049793229,0.440744044,UP
PGM2L1,122.6731463,0.877771434,0.447469042,1.961636117,0.049804864,0.440744044,UP
