GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,change
CICP23,9.636774046,2.880897694,1.2771488,2.255725953,0.024087799,0.331294898,UP
ENSG00000294522,4.221425912,2.789594006,1.237072918,2.254995615,0.024133604,0.331294898,UP
ENSG00000292993,6.039112098,-1.721321657,0.76335954,-2.25492912,0.024137778,0.331294898,DOWN
ENSG00000285534,11.5128261,2.177653909,0.966027018,2.254237064,0.024181258,0.331463974,UP
ENSG00000298634,28.49347712,1.163830653,0.517141343,2.250507851,0.024416726,0.334260889,UP
ENSG00000288746,28.49665977,1.116140361,0.496279781,2.249014371,0.024511582,0.335128143,UP
RFX2,581.9305224,1.597816941,0.710754499,2.248057443,0.024572527,0.335530132,UP
IL1RAP,1074.933633,1.918223139,0.853993674,2.246179564,0.024692509,0.335697038,UP
RAB11FIP4,1010.770743,-0.955776959,0.425649942,-2.245453046,0.024739063,0.335697038,DOWN
ENSG00000294706,5.793910787,2.587720566,1.152689955,2.244940676,0.024771941,0.335697038,UP
ATP6V1E1,1225.624199,0.796682623,0.35488708,2.244890469,0.024775165,0.335697038,UP
NCF1C,256.0974878,-1.519234707,0.676785636,-2.244779773,0.024782274,0.335697038,DOWN
SLC4A9,7.085772999,3.315993664,1.477266162,2.24468261,0.024788515,0.335697038,UP
CERNA1,7.431173794,-1.5945713,0.710461653,-2.244415716,0.024805666,0.335697038,DOWN
HSD17B4,518.7617789,0.542774503,0.241938073,2.243443941,0.024868201,0.336115698,UP
CLEC4D,890.3041763,1.769783048,0.789060118,2.242900139,0.024903255,0.336162337,UP
PLD6,68.11740805,1.355207242,0.604439961,2.242087435,0.024955722,0.336443617,UP
RASIP1,4.701042036,3.3257754,1.484652045,2.24010428,0.025084154,0.336994541,UP
TMCO3,1108.145418,1.449583043,0.64711142,2.240082619,0.02508556,0.336994541,UP
SLC45A3,42.99960325,-1.016000849,0.453645607,-2.239635593,0.02511459,0.336994541,DOWN
FSTL4,34.60115588,2.212124326,0.987775383,2.239501373,0.025123312,0.336994541,UP
ENSG00000307471,7.26020277,-2.00847764,0.897320428,-2.238305936,0.025201111,0.337246177,DOWN
ENSG00000279762,4.219511518,2.240815005,1.001150963,2.238238874,0.025205482,0.337246177,UP
PFN1,9836.865113,0.833079485,0.372385038,2.237145425,0.025276837,0.337588306,UP
IGLV2-23,77.32879692,1.706619722,0.762948267,2.23687476,0.025294527,0.337588306,UP
POMC,23.44745393,1.216917544,0.544167282,2.236293111,0.025332577,0.337631374,UP
CD160,43.30191353,-1.402660648,0.627637038,-2.234827717,0.025428661,0.337631374,DOWN
NOL3,50.88686639,1.215640122,0.543962217,2.234787794,0.025431284,0.337631374,UP
RPP38,52.25983071,0.955072354,0.427383096,2.234698475,0.025437151,0.337631374,UP
PTPRJ-AS1,7.796634362,1.713583219,0.766908186,2.234404654,0.02545646,0.337631374,UP
EGR1,1087.435642,-1.818147408,0.81408852,-2.233353453,0.025525645,0.338127381,DOWN
NEURL1,74.81891394,-1.899753754,0.850958797,-2.232486179,0.025582848,0.33846362,DOWN
ZNF736,81.27660797,-0.970655936,0.435019307,-2.231293922,0.025661666,0.338464118,DOWN
ARHGDIB,17877.69842,0.891627536,0.399612572,2.231229941,0.025665902,0.338464118,UP
SOX13,42.58102106,-1.416869188,0.635070589,-2.231042049,0.025678344,0.338464118,DOWN
GRINA,6865.530681,1.310984651,0.587824214,2.230232474,0.025732013,0.338751766,UP
PHLDA1,42.87849488,1.417477169,0.635973227,2.228831509,0.025825118,0.339557201,UP
ENSG00000274213,57.1143374,1.911209114,0.858655822,2.225815124,0.026026567,0.341356534,UP
ENSG00000289406,10.35833496,-1.649102251,0.741048232,-2.225364261,0.026056795,0.341356534,DOWN
ZNF296,81.03268083,-0.75819867,0.340710969,-2.225342705,0.026058241,0.341356534,DOWN
ENSG00000290460,8.600611156,1.396611235,0.627845674,2.22444988,0.026118191,0.341426224,UP
NUDT16,1155.370814,1.198374977,0.538793838,2.224180927,0.026136274,0.341426224,UP
COL10A1,9.64188871,-1.258477908,0.565905514,-2.22383044,0.026159855,0.341426224,DOWN
TACSTD2,11.07911107,2.521507483,1.134731085,2.222118982,0.026275266,0.342512257,UP
MTIF3,272.6850187,0.660477937,0.297353253,2.221189547,0.026338126,0.342911438,UP
ZNF2,25.34944238,1.057205035,0.476525217,2.218571015,0.026515923,0.344228304,UP
ENSG00000305314,10.31982205,6.592430843,2.971476764,2.218570551,0.026515955,0.344228304,UP
ENSG00000253227,7.282553181,-2.14954511,0.969018229,-2.218271076,0.026536355,0.344228304,DOWN
LINC03014,51.28666658,1.22556503,0.552907929,2.216580673,0.026651759,0.344949191,UP
SRI,511.5004954,0.91924723,0.414727836,2.216507187,0.026656786,0.344949191,UP
RIMKLB,56.83348812,-1.144633258,0.516551371,-2.215913696,0.026697413,0.345055147,DOWN
MEF2C-AS1,16.34942072,-1.266012957,0.571474773,-2.215343556,0.026736492,0.345140861,DOWN
PAXIP1-AS2,70.754272,-0.777797959,0.351840931,-2.210652289,0.027059925,0.348249097,DOWN
ENSG00000286808,7.531652305,-1.637542429,0.741246229,-2.209174718,0.027162491,0.348249097,DOWN
ITPKB,1197.733251,-0.75001708,0.339528083,-2.20899866,0.027174734,0.348249097,DOWN
NDUFS2,840.5453365,0.582021714,0.263479696,2.208981274,0.027175943,0.348249097,UP
ENSG00000268170,64.41577391,2.652261019,1.200907707,2.20854692,0.027206171,0.348249097,UP
ANKRD27,312.7535528,0.599562967,0.271586192,2.207634209,0.027269782,0.348249097,UP
PTGER2,842.5149784,1.05559982,0.47818765,2.207501219,0.027279062,0.348249097,UP
JADE2,871.2540346,-0.840473405,0.380897427,-2.206560996,0.027344744,0.348249097,DOWN
NKAP,167.8159208,0.762873234,0.345761656,2.206355796,0.027359097,0.348249097,UP
INSIG1-DT,44.43406833,-0.877108195,0.39758386,-2.206096077,0.027377273,0.348249097,DOWN
COX7C,736.2644055,1.118844914,0.507230731,2.205790869,0.027398646,0.348249097,UP
LINC02795,8.501679892,2.17486713,0.986007256,2.205731366,0.027402814,0.348249097,UP
FIBP,543.6643693,1.03033818,0.467187649,2.205405432,0.027425657,0.348249097,UP
ENSG00000296560,7.508775291,2.67830187,1.214504361,2.205263279,0.027435625,0.348249097,UP
DOCK3,8.063331154,-1.586537942,0.719731338,-2.204347451,0.027499918,0.348649142,DOWN
ACVRL1,58.07720637,1.93142021,0.87649046,2.203583835,0.027553625,0.348739096,UP
TIMP3,20.62388195,2.961014997,1.343891167,2.203314575,0.027572584,0.348739096,UP
NAA38,306.3303274,0.943854452,0.428775308,2.201279864,0.027716217,0.350117643,UP
LINC03062,14.88754844,-1.95153797,0.886724457,-2.200839228,0.027747407,0.350117643,DOWN
ENSG00000305656,9.231761272,1.860453698,0.845694692,2.19991176,0.027813156,0.350173697,UP
TRPC1,7.611305535,-1.567613668,0.712813542,-2.199191758,0.02786429,0.350173697,DOWN
TMEM216,111.3729562,0.880179263,0.400262973,2.199002465,0.027877747,0.350173697,UP
MME-AS1,13.58561527,-2.42566151,1.103122907,-2.198904124,0.02788474,0.350173697,DOWN
ENSG00000265907,47.65463428,1.981221608,0.901450193,2.197815945,0.027962225,0.350173697,UP
ARPC5,6410.662637,1.081837423,0.492292776,2.197548846,0.027981272,0.350173697,UP
RNF181,405.9016338,0.985092533,0.44827799,2.19750368,0.027984494,0.350173697,UP
AURKA,69.81700533,1.559777558,0.710154638,2.196391428,0.028063939,0.350173697,UP
ARID5A,1409.887299,1.104909224,0.50307276,2.196320913,0.028068982,0.350173697,UP
NUDT5,557.3226287,1.1130265,0.506807549,2.196152174,0.028081053,0.350173697,UP
YIPF1,568.08602,1.0339758,0.471168859,2.194490956,0.028200133,0.351246861,UP
TEAD3,7.852720233,2.024544623,0.923197753,2.192969618,0.028309568,0.352197516,UP
RAB3C,4.256571219,2.31876504,1.057936784,2.191780337,0.028395372,0.352852299,UP
PLCB1,31.68718818,-1.110633047,0.506912301,-2.190976713,0.028453478,0.353161776,DOWN
ATP5IF1,210.468486,0.908408055,0.414735324,2.190332009,0.028500167,0.353328994,UP
CCDC146,77.55576272,-1.160612369,0.530140248,-2.189255339,0.028578286,0.353821572,DOWN
CPNE2,562.0384197,1.078595426,0.492764004,2.188868133,0.028606426,0.353821572,UP
PKD1P6,12.49692817,-1.456841982,0.665858,-2.187916916,0.028675655,0.354171585,DOWN
ZC3H12D,137.7476182,-0.953493875,0.436022385,-2.186800283,0.028757107,0.354171585,DOWN
ZNHIT2,60.04272496,1.140402925,0.52155543,2.186542137,0.028775965,0.354171585,UP
